Year,Country,gold_medal,silver_medal,bronze_medal,total_medal,type_olympic,host_flag
2016,NIG,0,1,0,1,s,0
2016,NOR,0,0,4,4,s,0
2016,NZL,4,9,5,18,s,0
2016,PHI,0,1,0,1,s,0
2016,POL,2,3,6,11,s,0
2016,POR,0,0,1,1,s,0
2016,PRK,2,3,2,7,s,0
2016,PUR,1,0,0,1,s,0
2016,QAT,0,1,0,1,s,0
2016,ROU,1,1,2,4,s,0
2016,RSA,2,6,2,10,s,0
2016,RUS,19,17,20,56,s,0
2016,SGP,1,0,0,1,s,0
2016,SLO,1,2,1,4,s,0
2016,SRB,2,4,2,8,s,0
2016,SUI,3,2,2,7,s,0
2016,SVK,2,2,0,4,s,0
2016,SWE,2,6,3,11,s,0
2016,THA,2,2,2,6,s,0
2016,TJK,1,0,0,1,s,0
2016,TPE,1,0,2,3,s,0
2016,TTO,0,0,1,1,s,0
2016,TUN,0,0,3,3,s,0
2016,TUR,1,3,4,8,s,0
2016,UAE,0,0,1,1,s,0
2016,UKR,2,5,4,11,s,0
2016,USA,46,37,38,121,s,0
2016,UZB,4,2,7,13,s,0
2016,VEN,0,2,1,3,s,0
2016,VIE,1,1,0,2,s,0
2020,ARG,0,1,2,3,s,0
2020,ARM,0,2,2,4,s,0
2020,AUS,17,7,22,46,s,0
2020,AUT,1,1,5,7,s,0
2020,AZE,0,3,4,7,s,0
2020,BAH,2,0,0,2,s,0
2020,BEL,3,1,3,7,s,0
2020,BER,1,0,0,1,s,0
2020,BLR,1,3,3,7,s,0
2020,BOT,0,0,1,1,s,0
2020,BRA,7,6,8,21,s,0
2020,BRN,0,1,0,1,s,0
2020,BUL,3,1,2,6,s,0
2020,BUR,0,0,1,1,s,0
2020,CAN,7,6,11,24,s,0
2020,CHN,38,32,18,88,s,0
2020,CIV,0,0,1,1,s,0
2020,COL,0,4,1,5,s,0
2020,CRO,3,3,2,8,s,0
2020,CUB,7,3,5,15,s,0
2020,CZE,4,4,3,11,s,0
2020,DEN,3,4,4,11,s,0
2020,DOM,0,3,2,5,s,0
2020,ECU,2,1,0,3,s,0
2020,EGY,1,1,4,6,s,0
2020,ESP,3,8,6,17,s,0
2020,EST,1,0,1,2,s,0
2020,ETH,1,1,2,4,s,0
2020,FIJ,1,0,1,2,s,0
2020,FIN,0,0,2,2,s,0
2020,FRA,10,12,11,33,s,0
2020,GBR,22,21,22,65,s,0
2020,GEO,2,5,1,8,s,0
2020,GER,10,11,16,37,s,0
2020,GHA,0,0,1,1,s,0
2020,GRE,2,1,1,4,s,0
2020,GRN,0,0,1,1,s,0
2020,HKG,1,2,3,6,s,0
2020,HUN,6,7,7,20,s,0
2020,INA,1,1,3,5,s,0
2020,IND,1,2,4,7,s,0
2020,IRI,3,2,2,7,s,0
2020,IRL,2,0,2,4,s,0
2020,ISR,2,0,2,4,s,0
2020,ITA,10,10,20,40,s,0
2020,JAM,4,1,4,9,s,0
2020,JOR,0,1,1,2,s,0
2020,JPN,27,14,17,58,s,1
2020,KAZ,0,0,8,8,s,0
2020,KEN,4,4,2,10,s,0
2020,KGZ,0,2,1,3,s,0
2020,KOR,6,4,10,20,s,0
2020,KOS,2,0,0,2,s,0
2020,KSA,0,1,0,1,s,0
2020,KUW,0,0,1,1,s,0
2020,LAT,1,0,1,2,s,0
2020,LTU,0,1,0,1,s,0
2020,MAR,1,0,0,1,s,0
2020,MAS,0,1,1,2,s,0
2020,MDA,0,0,1,1,s,0
2020,MEX,0,0,4,4,s,0
2020,MGL,0,1,3,4,s,0
2020,MKD,0,1,0,1,s,0
2020,NAM,0,1,0,1,s,0
2020,NED,10,12,14,36,s,0
2020,NGR,0,1,1,2,s,0
2020,NOR,4,2,2,8,s,0
2020,NZL,7,6,7,20,s,0
2020,PHI,1,2,1,4,s,0
2020,POL,4,5,5,14,s,0
2020,POR,1,1,2,4,s,0
2020,PUR,1,0,0,1,s,0
2020,QAT,2,0,1,3,s,0
2020,ROC,20,28,23,71,s,0
2020,ROU,1,3,0,4,s,0
2020,RSA,1,2,0,3,s,0
2020,SLO,3,1,1,5,s,0
2020,SMR,0,1,2,3,s,0
2020,SRB,3,1,5,9,s,0
2020,SUI,3,4,6,13,s,0
2020,SVK,1,2,1,4,s,0
2020,SWE,3,6,0,9,s,0
2020,SYR,0,0,1,1,s,0
2020,THA,1,0,1,2,s,0
2020,TKM,0,1,0,1,s,0
2020,TPE,2,4,6,12,s,0
2020,TUN,1,1,0,2,s,0
2020,TUR,2,2,9,13,s,0
2020,UGA,2,1,1,4,s,0
2020,UKR,1,6,12,19,s,0
2020,USA,39,41,33,113,s,0
2020,UZB,3,0,2,5,s,0
2020,VEN,1,3,0,4,s,0
