Year,AG.LND.AGRI.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.POP.DNST,ER.H2O.INTR.PC,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SE.ADT.LITR.ZS,SE.PRM.ENRL,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SH.DYN.MORT,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SI.POV.DDAY,SL.UEM.TOTL.ZS,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.POP.1564.TO.ZS,SP.POP.DPND,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,GDP_per_Capita_lag1,Life_Expectancy_lag1,Crude_Birth_Rate_lag1,Pr_school_enrollment_lag1,Mortality_rate_lag1,Population_growth_rate_lag1
1961-01-01,35.8793167047376,49.29606783073938,73.35105720613188,28.528474728521363,13632.001963258848,1439319473881.014,468.456801290015,65.5865478515625,401658848.0,28.105,90.8022003173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,31.165496914858867,14.5832939377514,52.846477494913074,4.575611889488205,57.51476640709968,74.8474453257904,1.3508953706201223,3072470012.0,65.91043469200908,34.08956530799093,450.10602926585386,50.89433055076839,31.90851096498623,90.8022003173828,17.234125491334538,1.3508953706201223
1962-01-01,35.95247026261608,49.29606783073938,73.35105720613188,29.033819447128895,13395.56461182892,1542844506884.7407,493.41115925265586,65.5865478515625,401658848.0,28.105,90.8022003173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,35.10339122094658,13.616498518867935,55.20878268737837,5.035189801354363,57.39679558468172,75.25196003711774,1.771350665342155,3126894230.0,65.47888043823995,34.521119561760045,468.456801290015,52.846477494913074,31.165496914858867,90.8022003173828,14.5832939377514,1.3508953706201223
1963-01-01,36.03538341426645,49.29606783073938,73.35105720613188,29.651986272670342,13109.72353869532,1664976959207.4956,521.3692075494745,65.5865478515625,401658848.0,28.105,90.8022003173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,36.27466336912014,13.45912918059588,55.54242961306407,5.323439611068209,57.17092908056326,76.02057797783951,2.1291362643884497,3193470069.0,65.10201314170557,34.89798685829442,493.41115925265586,55.20878268737837,35.10339122094658,90.8022003173828,13.616498518867935,1.771350665342155
1964-01-01,36.1170428251459,49.29606783073938,73.35105720613188,30.27418294015686,12834.164741177168,1827784855167.609,560.587724932527,65.5865478515625,401658848.0,28.105,90.8022003173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,35.13185233036817,13.52927511034436,56.03495286225328,5.141430815685405,56.97871628788718,76.68435847154333,2.098330485401505,3260479625.0,64.71788174425181,35.2821182557482,521.3692075494745,55.54242961306407,36.27466336912014,90.8022003173828,13.45912918059588,2.1291362643884497
1965-01-01,36.21394093364546,49.29606783073938,73.35105720613188,30.90338029072272,12566.777471500423,1990239546775.5032,597.9850768231245,65.5865478515625,401658848.0,28.105,90.8022003173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,34.47425489178104,13.357290549788534,55.860706313139815,5.093548409336742,56.8777554906822,77.03609245734339,2.078320271668616,3328242834.0,64.50047869613869,35.499521303861336,560.587724932527,56.03495286225328,35.13185233036817,90.8022003173828,13.52927511034436,2.098330485401505
1966-01-01,36.294320909967105,49.29606783073938,73.35105720613188,31.555825648259045,12297.128594803886,2154637629405.427,633.9948256548906,65.5865478515625,401658848.0,28.105,90.8022003173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,33.40692981514428,12.93985554604799,56.38980370426508,4.97746224294705,56.83224269535922,77.20653956394172,2.1112332093734523,3398509802.0,64.3014103956459,35.69858960435409,597.9850768231245,55.860706313139815,34.47425489178104,90.8022003173828,13.357290549788534,2.078320271668616
1967-01-01,36.389050836517825,49.29606783073938,73.35105720613188,32.20472758986888,12039.371944222255,2293872786867.7544,661.3643187297995,65.5865478515625,401658848.0,28.105,90.8022003173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,33.1250260541808,12.687222028331988,56.79483280739327,4.872314985458691,56.86019810824426,77.13534089838885,2.0563523153257677,3468395137.0,64.08866669275339,35.911333307246615,633.9948256548906,56.38980370426508,33.40692981514428,90.8022003173828,12.93985554604799,2.1112332093734523
1968-01-01,36.7015793277098,49.29606783073938,73.35105720613188,32.87131977131964,11785.939689766874,2479011773071.175,700.2490845265958,65.5865478515625,401658848.0,28.105,90.8022003173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,33.239107174552785,12.440689133918914,57.22546217024157,4.982438016616684,56.8960895962604,77.02712637720245,2.0698486811423464,3540185668.0,63.88090188397825,36.119098116021746,661.3643187297995,56.79483280739327,33.1250260541808,90.8022003173828,12.687222028331988,2.0563523153257677
1969-01-01,36.74275359513358,49.29606783073938,73.35105720613188,33.562205044210216,11534.071987395131,2735531359708.5205,756.8020732226394,65.5865478515625,401658848.0,28.105,90.8022003173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,32.74753259736142,12.287512428814155,57.535588899067584,4.886253320953007,56.931030896006554,76.9272130328812,2.101787447832806,3614592846.0,63.68417090216674,36.31582909783325,700.2490845265958,57.22546217024157,33.239107174552785,90.8022003173828,12.440689133918914,2.0698486811423464
1970-01-01,36.650371582575424,49.29606783073938,73.35105720613188,34.264506620818835,11288.158804251229,3001559626304.823,813.3802713207039,65.5865478515625,401658848.0,28.105,90.8022003173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,32.49227893884886,12.139893258201262,57.84098146951919,4.846313835508975,57.001213924970216,76.7158169987278,2.0925275742661,3690229198.0,63.49421589326627,36.50578410673373,756.8020732226394,57.535588899067584,32.74753259736142,90.8022003173828,12.287512428814155,2.101787447832806
1971-01-01,36.797793691702864,49.29606783073938,73.35105720613188,34.98616875550345,11045.422679396255,3316060697936.083,880.0701015383878,65.5865478515625,412336928.0,28.23694,89.7631378173828,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,31.759828209685665,12.263238270664395,57.96728596396584,4.695924412068421,57.07630092003642,76.48927901778627,2.1061411860846704,3767950635.0,63.292871052999914,36.70712894700006,813.3802713207039,57.84098146951919,32.49227893884886,90.8022003173828,12.139893258201262,2.0925275742661
1972-01-01,36.93124131068155,49.29606783073938,73.35105720613188,35.688903155049296,10819.641590764317,3832675008705.6274,997.1497383292804,65.5865478515625,425869696.0,27.836,89.6398010253906,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,31.28850323204253,11.761766775809066,58.79295675912965,4.554389927822733,57.17973529052445,76.16526881052484,2.0085116109808183,3843630361.0,63.07982572031611,36.92017427968389,880.0701015383878,57.96728596396584,31.759828209685665,89.7631378173828,12.263238270664395,2.1061411860846704
1973-01-01,37.0246451755561,49.29606783073938,73.35105720613188,36.398451069825775,10600.860082621986,4662491340821.536,1189.397450778175,65.5865478515625,448749408.0,28.36033,91.3931427001953,93.0,8.622347667473873,476.66873114493177,43.8,4.996340371890472,30.654845817697858,11.468881001869136,59.29467367233107,4.424466330749374,57.29348180064565,75.81160823729948,1.9880808720669876,3920044841.0,62.84657159830424,37.15342840169578,997.1497383292804,58.79295675912965,31.28850323204253,89.6398010253906,11.761766775809066,2.0085116109808183
